time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-12 00:00:00+00:00,0,0,1,1
2022-10-14 00:00:00+00:00,0,0,1,1
2022-10-17 00:00:00+00:00,12,5,5,1
2022-10-18 00:00:00+00:00,13,6,16,1
2022-10-19 00:00:00+00:00,3,1,16,2
2022-10-21 00:00:00+00:00,1,1,0,0
2022-10-24 00:00:00+00:00,0,0,15,1
2022-10-25 00:00:00+00:00,8,6,20,3
2022-10-26 00:00:00+00:00,1,1,1,1
2022-10-27 00:00:00+00:00,1,1,7,2
2022-10-28 00:00:00+00:00,1,1,13,3
2022-10-29 00:00:00+00:00,1,1,0,0
2022-10-30 00:00:00+00:00,1,1,0,0
2022-10-31 00:00:00+00:00,1,1,0,0
2022-11-01 00:00:00+00:00,1,1,0,0
2022-11-02 00:00:00+00:00,1,1,0,0
2022-11-03 00:00:00+00:00,2,2,0,0
2022-11-04 00:00:00+00:00,1,1,0,0
2022-11-05 00:00:00+00:00,2,2,0,0
2022-11-06 00:00:00+00:00,1,1,0,0
2022-11-07 00:00:00+00:00,2,2,0,0
2022-11-08 00:00:00+00:00,1,1,0,0
2022-11-09 00:00:00+00:00,2,2,0,0
2022-11-10 00:00:00+00:00,1,1,0,0
2022-11-11 00:00:00+00:00,1,1,0,0
2022-11-12 00:00:00+00:00,2,2,0,0
2022-11-13 00:00:00+00:00,1,1,0,0
2022-11-14 00:00:00+00:00,10,7,1,1
2022-11-15 00:00:00+00:00,2,2,0,0
2022-11-16 00:00:00+00:00,2,2,0,0
2022-11-17 00:00:00+00:00,1,1,0,0
2022-11-18 00:00:00+00:00,2,2,1,1
2022-11-19 00:00:00+00:00,1,1,2,2
2022-11-20 00:00:00+00:00,2,2,0,0
2022-11-21 00:00:00+00:00,5,4,24,2
2022-11-22 00:00:00+00:00,4,4,11,2
2022-11-23 00:00:00+00:00,2,2,0,0
2022-11-24 00:00:00+00:00,1,1,0,0
2022-11-25 00:00:00+00:00,1,1,0,0
2022-11-26 00:00:00+00:00,2,2,0,0
2022-11-27 00:00:00+00:00,1,1,0,0
2022-11-28 00:00:00+00:00,10,4,0,0
2022-11-29 00:00:00+00:00,1,1,0,0
2022-11-30 00:00:00+00:00,4,4,0,0
2022-12-01 00:00:00+00:00,3,3,2,1
2022-12-02 00:00:00+00:00,2,2,0,0
2022-12-03 00:00:00+00:00,2,2,0,0
2022-12-04 00:00:00+00:00,2,2,0,0
2022-12-05 00:00:00+00:00,2,2,0,0
2022-12-06 00:00:00+00:00,2,2,0,0
2022-12-07 00:00:00+00:00,3,2,0,0
2022-12-08 00:00:00+00:00,1,1,0,0
2022-12-09 00:00:00+00:00,5,3,0,0
2022-12-10 00:00:00+00:00,1,1,0,0
2022-12-11 00:00:00+00:00,1,1,0,0
2022-12-12 00:00:00+00:00,4,3,0,0
2022-12-13 00:00:00+00:00,3,3,0,0
2022-12-14 00:00:00+00:00,2,2,0,0
2022-12-15 00:00:00+00:00,1,1,0,0
2022-12-16 00:00:00+00:00,2,2,0,0
2022-12-17 00:00:00+00:00,1,1,0,0
2022-12-18 00:00:00+00:00,2,2,0,0
2022-12-19 00:00:00+00:00,2,2,0,0
2022-12-20 00:00:00+00:00,2,2,0,0
2022-12-21 00:00:00+00:00,1,1,1,1
2022-12-22 00:00:00+00:00,1,1,0,0
2022-12-23 00:00:00+00:00,4,4,8,1
2022-12-24 00:00:00+00:00,2,2,0,0
2022-12-25 00:00:00+00:00,4,4,0,0
2022-12-26 00:00:00+00:00,2,2,0,0
2022-12-27 00:00:00+00:00,3,3,0,0
2022-12-28 00:00:00+00:00,3,3,0,0
2022-12-29 00:00:00+00:00,1,1,0,0
2022-12-30 00:00:00+00:00,2,2,0,0
2022-12-31 00:00:00+00:00,1,1,0,0
2023-01-01 00:00:00+00:00,1,1,0,0
2023-01-02 00:00:00+00:00,3,3,0,0
2023-01-03 00:00:00+00:00,6,3,0,0
